icao	city	country	state	name	type	longitude	latitude	elevation
OYBA	Dhula'	Yemen	Hadramawt Governorate	Al Badie Airport	small_airport	50.8357710	18.7207090	908
OYGD	Al Ghaydah	NULL	NULL	Al Ghaydah International Airport	medium_airport	52.1741860	16.1933410	134
OYHD	Hodeida	Yemen	Al Hydaydah Governorate	Hodeidah International Airport	medium_airport	42.9762993	14.7530003	41
OYRN	Riyan	Yemen	Hadramawt Governorate	Riyan Mukalla International Airport	medium_airport	49.3750000	14.6626000	54
OYSN	Sana'a	Yemen	San'a' Governorate	Sana'a International Airport	medium_airport	44.2196999	15.4763002	7216
OYSQ	Socotra Islands	Yemen	Hadramawt Governorate	Socotra International Airport	medium_airport	53.9057999	12.6307001	146
OYSY	Seiyun	Yemen	Hadramawt Governorate	Seiyun Hadhramaut International Airport	medium_airport	48.7883000	15.9661000	2097
OYTZ	Ta'izz	Yemen	Ta'izz Governorate	Ta'izz International Airport	medium_airport	44.1390991	13.6859999	4838
PA-OTD	Contadora Island	NULL	NULL	Raul Arias Espinoza Airport	small_airport	-79.0346980	8.6287600	43
PA88	Farmington	United States	Pennsylvania	Nemacolin Airport	small_airport	-79.5488968	39.8055992	2010
PAAQ	Palmer	United States	Alaska	Warren "Bud" Woods Palmer Municipal Airport	medium_airport	-149.0890100	61.5948980	242
PABA	Barter Island	United States	Alaska	Barter Island Long Range Radar Station Airport	medium_airport	-143.5820010	70.1340030	2
PABE	Bethel	NULL	NULL	Bethel Airport	medium_airport	-161.8379974	60.7798004	126
PABI	Delta Junction Ft Greely	United States	Alaska	Allen Army Airfield	medium_airport	-145.7220001	63.9944992	1291
PABL	Buckland	NULL	NULL	Buckland Airport	small_airport	-161.1490020	65.9815980	31
PABR	Utqiaġvik	United States	Alaska	Wiley Post Will Rogers Memorial Airport	medium_airport	-156.7660080	71.2854020	44
PABT	Bettles	United States	Alaska	Bettles Airport	small_airport	-151.5290070	66.9139020	647
PABV	Birchwood	United States	Alaska	Birchwood Airport	medium_airport	-149.5070040	61.4165000	83
PACD	Cold Bay	United States	Alaska	Cold Bay Airport	medium_airport	-162.7250290	55.2078710	96
PACL	Clear	United States	Alaska	Clear Airport	medium_airport	-149.1174320	64.2997380	552
PACM	Scammon Bay	NULL	NULL	Scammon Bay Airport	small_airport	-165.5752090	61.8447100	14
PACV	Cordova	United States	Alaska	Merle K (Mudhole) Smith Airport	medium_airport	-145.4779970	60.4917980	54
PACZ	Cape Romanzof	United States	Alaska	Cape Romanzof LRRS Airport	medium_airport	-166.0390015	61.7803001	464
PADE	Deering	United States	Alaska	Deering Airport	medium_airport	-162.7669140	66.0689010	21
PADL	Dillingham	United States	Alaska	Dillingham Airport	medium_airport	-158.5050049	59.0447006	81
PADM	Marshall	United States	Alaska	Marshall Don Hunter Sr Airport	small_airport	-162.0260010	61.8643000	103
PADQ	Kodiak	United States	Alaska	Kodiak Airport	medium_airport	-152.4940033	57.7500000	78
PADU	Unalaska	United States	Alaska	Tom Madsen (Dutch Harbor) Airport	medium_airport	-166.5449960	53.8988100	22
PAED	Anchorage	United States	Alaska	Elmendorf Air Force Base	medium_airport	-149.8070970	61.2517090	212
PAEH	Cape Newenham	United States	Alaska	Cape Newenham LRRS Airport	medium_airport	-162.0630035	58.6464005	541
PAEI	Fairbanks	United States	Alaska	Eielson Air Force Base	medium_airport	-147.1020050	64.6657028	547
PAEM	Emmonak	United States	Alaska	Emmonak Airport	medium_airport	-164.4909973	62.7860985	13
PAEN	Kenai	United States	Alaska	Kenai Municipal Airport	medium_airport	-151.2451740	60.5709460	99
PAFA	Fairbanks	United States	Alaska	Fairbanks International Airport	medium_airport	-147.8560030	64.8151020	439
PAFB	Fairbanks	United States	Alaska	Ladd Army Airfield	medium_airport	-147.6139980	64.8375020	454
PAFE	Kake	United States	Alaska	Kake Airport	medium_airport	-133.9102020	56.9613120	172
PAFM	Ambler	United States	Alaska	Ambler Airport	medium_airport	-157.8553390	67.1055290	334
PAFR	Fort Richardson	NULL	NULL	Bryant Army Airfield	small_airport	-149.6530000	61.2663990	378
PAGA	Galena	United States	Alaska	Edward G. Pitka Sr Airport	medium_airport	-156.9369970	64.7361980	153
PAGH	Shungnak	NULL	NULL	Shungnak Airport	small_airport	-157.1620026	66.8880997	197
PAGK	Gulkana	United States	Alaska	Gulkana Airport	medium_airport	-145.4546620	62.1558590	1586
PAGM	Gambell	United States	Alaska	Gambell Airport	medium_airport	-171.7333030	63.7676940	27
PAGS	Gustavus	NULL	NULL	Gustavus Airport	medium_airport	-135.7070007	58.4253006	35
PAHL	Huslia	United States	Alaska	Huslia Airport	medium_airport	-156.3509980	65.6978990	220
PAHN	Haines	United States	Alaska	Haines Airport	medium_airport	-135.5239250	59.2439210	15
PAHO	Homer	United States	Alaska	Homer Airport	medium_airport	-151.4792350	59.6444560	84
PAHP	Hooper Bay	United States	Alaska	Hooper Bay Airport	small_airport	-166.1470030	61.5238990	13
PAII	Egegik	NULL	NULL	Egegik Airport	medium_airport	-157.3748730	58.1843860	92
PAIK	Kiana	United States	Alaska	Bob Baker Memorial Airport	medium_airport	-160.4390140	66.9761280	166
PAIL	Iliamna	United States	Alaska	Iliamna Airport	medium_airport	-154.9109960	59.7543980	192
PAIM	Utopia Creek	United States	Alaska	Indian Mountain LRRS Airport	medium_airport	-153.7039950	65.9927980	1273
PAJN	Juneau	United States	Alaska	Juneau International Airport	medium_airport	-134.5760040	58.3550000	21
PAKN	King Salmon	United States	Alaska	King Salmon Airport	medium_airport	-156.6519650	58.6778450	73
PAKP	Anaktuvuk Pass	United States	Alaska	Anaktuvuk Pass Airport	medium_airport	-151.7429960	68.1335980	2102
PAKT	Ketchikan	United States	Alaska	Ketchikan International Airport	medium_airport	-131.7140045	55.3555985	89
PAKW	Klawock	United States	Alaska	Klawock Airport	medium_airport	-133.0760040	55.5792010	80
PALU	Cape Lisburne	United States	Alaska	Cape Lisburne LRRS Airport	medium_airport	-166.1100010	68.8750990	16
PAMH	Minchumina	NULL	NULL	Minchumina Airport	small_airport	-152.3020020	63.8860020	678
PAMR	Anchorage	United States	Alaska	Merrill Field	medium_airport	-149.8439880	61.2127920	137
PAMY	Mekoryuk	United States	Alaska	Mekoryuk Airport	medium_airport	-166.2697510	60.3723380	48
PANC	Anchorage	United States	Alaska	Ted Stevens Anchorage International Airport	large_airport	-149.9925610	61.1790040	152
PANN	Nenana	United States	Alaska	Nenana Municipal Airport	medium_airport	-149.0745160	64.5487720	362
PANT	Metlakatla	United States	Alaska	Annette Island Airport	medium_airport	-131.5726090	55.0376630	119
PANU	Nulato	United States	Alaska	Nulato Airport	small_airport	-158.0740050	64.7293010	399
PANV	Anvik	United States	Alaska	Anvik Airport	medium_airport	-160.1909940	62.6467020	291
PAOM	Nome	United States	Alaska	Nome Airport	medium_airport	-165.4450073	64.5121994	37
PAOO	Toksook Bay	United States	Alaska	Toksook Bay Airport	small_airport	-165.0870060	60.5414010	59
PAOR	Northway	NULL	NULL	Northway Airport	medium_airport	-141.9290010	62.9613000	1715
PAOT	Kotzebue	NULL	NULL	Ralph Wien Memorial Airport	medium_airport	-162.5989990	66.8846970	14
PAPB	St George	United States	Alaska	St George Airport	medium_airport	-169.6638230	56.5773450	125
